seed,q_x,q_y,label,w0,w1,w2,w3,w4,w5,w6,w7,pred
1,-0.885575,-0.323107,0,0.113524,0.169060,0.293278,0.095063,0.170482,0.006855,0.147251,0.004486,0
1,-0.288078,0.406778,0,0.099554,0.251133,0.098065,0.061453,0.255378,0.073509,0.121486,0.039422,1
1,-0.667954,0.210454,0,0.089325,0.257196,0.168095,0.059336,0.255850,0.040525,0.117428,0.012245,1
1,-0.777288,0.129205,0,0.087422,0.250431,0.197578,0.059976,0.247929,0.031128,0.117029,0.008507,0
1,-0.771130,-0.076029,0,0.105993,0.210573,0.230799,0.079774,0.211268,0.016096,0.137839,0.007658,1
1,-0.909329,-0.357727,0,0.113366,0.163715,0.304094,0.096331,0.165093,0.006055,0.147293,0.004053,0
1,-0.789921,-0.028173,0,0.100017,0.221149,0.226538,0.073617,0.220844,0.018803,0.131552,0.007480,0
1,-0.173314,-0.074911,0,0.169217,0.159506,0.127894,0.130338,0.168881,0.015527,0.187872,0.040764,1
1,-0.555755,-0.276159,0,0.147220,0.157546,0.213402,0.122285,0.163186,0.008151,0.176086,0.012124,1
1,-0.979759,0.012590,0,0.079568,0.239522,0.253530,0.057071,0.234538,0.020800,0.110650,0.004320,0
1,-0.710101,-0.097326,0,0.114114,0.202385,0.222429,0.086923,0.204444,0.015069,0.145609,0.009027,1
1,-0.918296,-0.224619,0,0.102906,0.189597,0.285280,0.082328,0.189462,0.009593,0.136417,0.004418,0
1,-0.894370,0.398525,0,0.056677,0.300771,0.163129,0.034285,0.289738,0.067737,0.081117,0.006547,0
1,-1.275061,-0.230033,0,0.070364,0.200620,0.366581,0.055641,0.194199,0.008688,0.102445,0.001462,0
1,-1.032302,0.058588,0,0.072000,0.250809,0.253266,0.050479,0.243730,0.023795,0.102151,0.003770,0
1,-0.745956,-0.069116,0,0.107930,0.210300,0.224974,0.081061,0.211383,0.016508,0.139555,0.008289,1
1,-0.890035,0.297155,0,0.064695,0.286082,0.182397,0.040969,0.277442,0.050701,0.091247,0.006468,0
