seed,epoch,token,sq0,sq1,sq2,sq3,N,p
1,48,0,5.92393478e-01,8.68075686e-02,-1.33909485e-02,-3.06900614e-02,3.57344389e-01,1
1,48,1,4.68726245e-01,7.18329193e-03,-6.43134340e-02,4.82926265e-02,2.13287496e-01,1
1,49,0,5.92477958e-01,8.68005078e-02,-1.32289050e-02,-3.06918785e-02,3.57447463e-01,1
1,49,1,4.69027271e-01,7.30491674e-03,-6.40701341e-02,4.81552577e-02,2.13616032e-01,1
1,50,0,5.92563424e-01,8.67936868e-02,-1.30662625e-02,-3.06935909e-02,3.57551731e-01,1
1,50,1,4.69332467e-01,7.42657473e-03,-6.38274583e-02,4.80171851e-02,2.13948524e-01,1
1,51,0,5.92649881e-01,8.67871067e-02,-1.29030151e-02,-3.06951977e-02,3.57657201e-01,1
1,51,1,4.69641857e-01,7.54827050e-03,-6.35854032e-02,4.78784055e-02,2.14285005e-01,1
1,52,0,5.92737334e-01,8.67807685e-02,-1.27391566e-02,-3.06966977e-02,3.57763876e-01,1
1,52,1,4.69955468e-01,7.67000868e-03,-6.33439650e-02,4.77389156e-02,2.14625509e-01,1
1,53,0,5.92825788e-01,8.67746731e-02,-1.25746810e-02,-3.06980899e-02,3.57871763e-01,1
1,53,1,4.70273327e-01,7.79179393e-03,-6.31031403e-02,4.75987121e-02,2.14970070e-01,1
1,54,0,5.92915246e-01,8.67688215e-02,-1.24095818e-02,-3.06993732e-02,3.57980868e-01,1
1,54,1,4.70595459e-01,7.91363093e-03,-6.28629256e-02,4.74577915e-02,2.15318722e-01,1
1,55,0,5.93005715e-01,8.67632149e-02,-1.22438528e-02,-3.07005463e-02,3.58091198e-01,1
1,55,1,4.70921894e-01,8.03552436e-03,-6.26233174e-02,4.73161505e-02,2.15671502e-01,1
1,56,0,5.93097199e-01,8.67578543e-02,-1.20774875e-02,-3.07016082e-02,3.58202758e-01,1
1,56,1,4.71252658e-01,8.15747897e-03,-6.23843123e-02,4.71737854e-02,2.16028444e-01,1
1,57,0,5.93189703e-01,8.67527408e-02,-1.19104794e-02,-3.07025577e-02,3.58315555e-01,1
1,57,1,4.71587782e-01,8.27949950e-03,-6.21459069e-02,4.70306928e-02,2.16389586e-01,1
1,58,0,5.93283232e-01,8.67478756e-02,-1.17428219e-02,-3.07033936e-02,3.58429595e-01,1
